UTS,YS,EL,EL_Si,EL_Mg,EL_Sc,EL_Al
209.8287,124.22137,6.352071,5.27,0,0.4532854,94.2767146
209.75967,124.13167,6.355523,5.28,0,0.45428267,94.26571733
209.6901,124.04145,6.3590407,5.29,0,0.45528013,94.25471987
209.62122,123.95186,6.362485,5.3,0,0.4562774,94.2437226
209.552,123.861984,6.3659616,5.31,0,0.4572747,94.2327253
209.48315,123.77239,6.3694105,5.32,0,0.45827204,94.22172796
209.41405,123.6826,6.3728766,5.33,0,0.45926934,94.21073066
209.3453,123.593124,6.37631,5.34,0,0.46026674,94.19973326
209.27582,123.503,6.379812,5.35,0,0.461264,94.188736
209.20659,123.4131,6.3832874,5.36,0,0.4622614,94.1777386
209.1376,123.32341,6.386751,5.37,0,0.46325874,94.16674126
209.06851,123.23363,6.3902135,5.38,0,0.46425605,94.15574395
208.99918,123.14363,6.393704,5.39,0,0.46525338,94.14474662
208.92992,123.0537,6.3971815,5.4,0,0.46625084,94.13374916
208.86095,122.96405,6.4006414,5.41,0,0.46724805,94.12275195
208.79172,122.874146,6.404117,5.42,0,0.46824545,94.11175455
208.72263,122.784355,6.407583,5.43,0,0.4692428,94.1007572
208.65335,122.694435,6.4110613,5.44,0,0.47024018,94.08975982
208.58426,122.604645,6.4145336,5.45,0,0.47123745,94.07876255
208.5152,122.51488,6.417999,5.46,0,0.47223482,94.06776518
208.44632,122.4253,6.42144,5.47,0,0.47323212,94.05676788
208.37723,122.33551,6.424914,5.48,0,0.4742295,94.0457705
208.3075,122.24517,6.428435,5.49,0,0.47522685,94.03477315
208.23901,122.15592,6.4318423,5.5,0,0.47622424,94.02377576
208.16956,122.06583,6.4353476,5.51,0,0.47722152,94.01277848
208.10056,121.97613,6.438803,5.52,0,0.47821882,94.00178118
208.03181,121.88664,6.4422398,5.53,0,0.4792162,93.9907838
207.96185,121.796135,6.445784,5.54,0,0.48021355,93.97978645
207.89311,121.70663,6.4492164,5.55,0,0.4812109,93.9687891
207.82413,121.61695,6.452675,5.56,0,0.48220825,93.95779175
207.75514,121.52726,6.4561253,5.57,0,0.48320553,93.94679447
207.68524,121.43677,6.4596777,5.58,0,0.48420292,93.93579708
207.61642,121.347244,6.463107,5.59,0,0.48520026,93.92479974
207.5475,121.2576,6.4665694,5.6,0,0.48619762,93.91380238
207.47847,121.16787,6.470024,5.61,0,0.48719493,93.90280507
207.40878,121.07759,6.473547,5.62,0,0.4881923,93.8918077
207.33978,120.987885,6.477003,5.63,0,0.48918965,93.88081035
207.27081,120.89821,6.4804616,5.64,0,0.49018693,93.86981307
207.20181,120.80852,6.4839177,5.65,0,0.4911843,93.8588157
207.13281,120.71881,6.4873695,5.66,0,0.49218157,93.84781843
207.06363,120.62894,6.4908504,5.67,0,0.493179,93.836821
206.99437,120.53902,6.4943256,5.68,0,0.4941763,93.8258237
206.92516,120.44914,6.497805,5.69,0,0.49517372,93.81482628
206.8564,120.35965,6.5012383,5.7,0,0.49617094,93.80382906
206.78716,120.26973,6.504719,5.71,0,0.49716833,93.79283167
206.71747,120.179436,6.508244,5.72,0,0.4981657,93.7818343
206.64873,120.08996,6.5116787,5.73,0,0.49916303,93.77083697
206.57977,120.0003,6.5151315,5.74,0,0.50016034,93.75983966
206.5105,119.91037,6.518613,5.75,0,0.50115764,93.74884236
206.4411,119.82032,6.5221186,5.76,0,0.50215507,93.73784493
206.3723,119.730774,6.525549,5.77,0,0.5031524,93.7268476
206.30284,119.640686,6.529044,5.78,0,0.5041498,93.7158502
206.23386,119.550995,6.532508,5.79,0,0.5051471,93.7048529
206.16464,119.46111,6.5359845,5.8,0,0.5061444,93.6938556
206.09592,119.37164,6.53942,5.81,0,0.5071417,93.6828583
206.02667,119.28175,6.5428934,5.82,0,0.50813913,93.67186087
205.95764,119.19202,6.546348,5.83,0,0.50913644,93.66086356
205.88821,119.10193,6.5498524,5.84,0,0.51013386,93.64986614
205.81921,119.01224,6.5533066,5.85,0,0.51113105,93.63886895
205.75002,118.922356,6.5567927,5.86,0,0.51212853,93.62787147
205.68077,118.83244,6.5602674,5.87,0,0.5131258,93.6168742
205.61156,118.74257,6.5637445,5.88,0,0.5141232,93.6058768
205.54233,118.652664,6.567227,5.89,0,0.5151205,93.5948795
205.47333,118.562965,6.5706816,5.9,0,0.51611793,93.58388207
205.40414,118.4731,6.5741606,5.91,0,0.5171151,93.5728849
205.33485,118.38315,6.577644,5.92,0,0.51811254,93.56188746
205.26591,118.29351,6.581096,5.93,0,0.51910985,93.55089015
205.19669,118.203606,6.5845733,5.94,0,0.52010727,93.53989273
205.12723,118.11351,6.588073,5.95,0,0.5211046,93.5288954
205.0582,118.02379,6.5915318,5.96,0,0.5221019,93.5178981
204.98947,117.93431,6.5949664,5.97,0,0.5230992,93.5069008
204.92024,117.84441,6.5984488,5.98,0,0.52409655,93.49590345
204.85175,117.75516,6.6018553,5.99,0,0.52509385,93.48490615
204.7825,117.66524,6.6053314,6,0,0.5260912,93.4739088
204.71306,117.57515,6.608837,6.01,0,0.52708864,93.46291136
204.6436,117.485054,6.612339,6.02,0,0.52808595,93.45191405
204.57443,117.3952,6.61581,6.03,0,0.5290834,93.4409166
204.50586,117.30588,6.6192255,6.04,0,0.5300806,93.4299194
204.43642,117.21579,6.622733,6.05,0,0.531078,93.418922
204.36716,117.12587,6.6262074,6.06,0,0.5320753,93.4079247
204.29816,117.03616,6.62966,6.07,0,0.5330726,93.3969274
204.22897,116.946304,6.633141,6.08,0,0.53407,93.38593
